sent0	sent1	hard_neg
what soviet films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.deceased_person.place_of_death ?y .?y ns:base.biblioness.bibs_topic.is_really ?x .
who plays saruman in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.sequel ?y .?y ns:film.film.starring ?x .
who is the composer of <e>?	ns:music.composition.composer ?x .	ns:music.composition.lyricist ?x .
which president depicted on <e> was the son of thomas lincoln	ns:visual_art.artwork.art_subject ?x .	ns:architecture.structure.opened ?x .
who was <e> when dil ne jise apna kahaa was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:fictional_universe.fictional_job_title.fictional_characters_with_this_job ?x .
which film starring <e> was released in 1994	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.producer.film ?y .?y ns:film.film.release_date_s ?x .
who does <e> play in the hunger games?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:type.object.type ?x .
who was <e> president when alan rickman was born?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:location.location.people_born_here ?y .?y ns:people.person.date_of_birth ?x .
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.article ?x .
what english films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.from ?x .
who won <e> of texas in 2008?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.political_district.elections ?y .?y ns:government.election.district ?x .
who won <e> of texas in 2008?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government ?y .?y ns:government.government.agency ?x .
who was <e> in soul surfer?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
who was <e> when alatriste was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:base.ikariam.ikariam_research.researches_unlocked ?x .
who won the <e> in 2008?	ns:sports.sports_award_type.winners ?y .?y ns:sports.sports_award.award_winner ?x .	ns:sports.sports_championship.events ?y .?y ns:sports.sports_championship_event.champion ?x .
which member of royalty was the son of <e> of denmark	ns:people.person.sibling_s ?y .?y ns:people.sibling_relationship.sibling ?x .	ns:people.person.parents ?y .?y ns:royalty.monarch.royal_line ?x .
who is the female star in the movie <e>	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.language ?y .?y ns:base.rosetta.languoid.local_name ?x .
when was the last time <e> invaded another country?	ns:military.military_combatant.force_deployments ?y .?y ns:military.force_strength.military_conflict ?x .	ns:location.location.events ?y .?y ns:military.military_conflict.force_strengths ?x .
who does <e> work for now?	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.company ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.sport ?x .
what is the most practiced religion in the <e>?	ns:location.statistical_region.religions ?y .?y ns:location.religion_percentage.religion ?x .	ns:base.aareas.schema.administrative_area.subdividing_type ?y .?y ns:base.aareas.schema.administrative_area_type.subdividing_type ?x .
what has satish shah starred in that <e> directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.country ?x .
who was <e> president when dietrich klagges was a teenager	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .
who plays sam in <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.seasons ?y .?y ns:tv.tv_series_season.regular_cast ?x .
what is the most famous actor in the <e>?	ns:award.award_nominated_work.award_nominations ?y .?y ns:award.award_nomination.award_nominee ?x .	ns:film.film.directed_by ?y .?y ns:people.person.parents ?x .
who was the birth control advocate named <e>?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:influence.influence_node.influenced_by ?y .?y ns:education.academic.advisors ?x .
what team does <e> play for 2011?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.athlete ?x .
who is the president of <e> in 2009?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_conflict ?x .
what year did <e> win the heisman trophy	ns:sports.pro_athlete.career_start ?x .	ns:american_football.football_player.forty_yard_dash_time ?x .
what team does <e> play for 2011?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.from ?x .
who is the female star in the movie <e>	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.directed_by ?y .?y ns:imdb.topic.name_id ?x .
who does <e> play for in 2010?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:soccer.football_player.matches_played ?y .?y ns:soccer.football_player_match_participation.match ?x .
who is better <e> or george lopez?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .	ns:influence.influence_node.influenced_by ?y .?y ns:base.saturdaynightlive.snl_cast_member.dates_on_snl ?x .
what is the capital city of <e> now?	ns:location.country.capital ?x .	ns:location.location.partiallycontains ?x .
who played maxie jones on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.tv_program ?x .
who was <e> president when alan rickman was born?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:user.exooo.default_domain.head_of_state.president ?y .?y ns:business.employment_tenure.from ?x .
who was the voice of <e> in episode iii?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
what role did <e> play in endless love?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .
who is the current president of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:government.government_office_or_title.office_holders ?x .
who are the two state senators of <e>?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.location.people_born_here ?y .?y ns:people.person.metaweb_user_s ?x .
who played the title role of <e> in 1950?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:theater.theater_character.portrayed_by ?y .?y ns:theater.theater_role.role ?x .
where did <e> live before he died?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.person.employment_history ?y .?y ns:business.employment_tenure.person ?x .
who is the highest paid <e>?	ns:base.articleindices.article_category.articles_in_this_category ?y .?y ns:base.articleindices.index_item.topic ?x .	ns:people.profession.people_with_this_profession ?y .?y ns:base.wrestling.solo_wrestler_or_team.managers ?x .
who is the <e> 2012?	ns:government.politician.party ?y .?y ns:government.political_party_tenure.politician ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.display_name ?x .
which author was the son of <e>	ns:people.person.children ?x .	ns:book.author.series_written_or_contributed_to ?x .
who founded the <e> afl in 1886?	ns:organization.organization.founders ?x .	ns:common.topic.notable_for ?x .
who plays <e> in lost?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.places_lived ?y .?y ns:rail.railway_terminus.railways_terminating_here ?x .
who is the owner of <e> technology company?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:business.employer.number_of_employees ?y .?y ns:measurement_unit.dated_integer.number ?x .
what has <e> starred in that aram avakian directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
which tv personality was the son of <e>	ns:people.person.children ?x .	ns:base.playboyplaymates.playmate.waist ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.team ?x .
what kind of government does <e> have today?	ns:location.country.form_of_government ?x .	ns:government.governmental_jurisdiction.government ?x .
who played <e> on star trek the next generation?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_episodes ?y .?y ns:type.object.type ?x .
who plays <e> on buffy the vampire slayer?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.characters ?x .
who plays <e> on the looney tunes show?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.gender ?y .?y ns:type.object.name ?x .
what has satish shah starred in that <e> directed	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.honored_for ?x .	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.runtime ?x .
what is <e> best known for?	ns:film.film_story_contributor.film_story_credits ?x .	ns:book.author.works_written ?x .
who does <e> play in the hunger games?	ns:film.actor.film ?y .?y ns:film.performance.character ?x .	ns:freebase.valuenotation.has_no_value ?y .?y ns:freebase.property_hints.deprecated ?x .
who was <e> when john andrew shulze was a teenager	ns:base.firsts.achievement.firsts ?y .?y ns:base.firsts.first_achievement.first ?x .	ns:base.ontologies.ontology_class.equivalent_classes ?y .?y ns:base.ontologies.ontology_class_mapping.freebase_topic ?x .
what did <e> do in the revolutionary war?	ns:military.military_commander.military_commands ?y .?y ns:military.military_command.military_conflict ?x .	ns:people.person.nationality ?y .?y ns:location.statistical_region.electricity_consumption_per_capita ?x .
what college did <e>?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.parents ?y .?y ns:people.person.place_of_birth ?x .
what province is canada's capital located in?	ns:location.location.containedby ?x .	ns:location.location.time_zones ?x .
what has <e> starred in that david dhawan directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.nationality ?y .?y ns:freebase.valuenotation.is_reviewed ?x .
who won the governor election in <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:common.topic.notable_for ?x .
what middle school did <e> attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.employment_history ?y .?y ns:type.object.type ?x .
who is <e> married to 2012?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.family_member.family ?y .?y ns:common.topic.notable_for ?x .
who does <e> play in 24?	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:people.person.profession ?y .?y ns:people.profession.people_with_this_profession ?x .
what year <e> won the super bowl?	ns:sports.sports_award_winner.awards ?y .?y ns:sports.sports_award.season ?x .	ns:people.person.profession ?y .?y ns:common.topic.image ?x .
what literary genre is <e>	ns:book.book.genre ?x .	ns:book.translated_work.translations ?x .
who played obi wan kenobi in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.other_crew ?y .?y ns:type.object.type ?x .
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.parents ?y .?y ns:people.person.place_of_birth ?x .
who nikki reed play in <e>?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.country ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .
who does the voice of <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.from ?x .
who was the <e> the king of crash?	ns:award.hall_of_fame_inductee.hall_of_fame_inductions ?y .?y ns:award.hall_of_fame_induction.inductee ?x .	ns:people.deceased_person.cause_of_death ?y .?y ns:people.cause_of_death.people ?x .
who is the current president of the <e> in 2010?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.body_this_is_a_component_of ?x .
who is the prime minister of <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:people.person.religion ?x .
who is the senator of the <e> 2010?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .
who will <e> play for in 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.athlete ?x .
who voices <e> in looney tunes?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:film.film_character.portrayed_in_films ?y .?y ns:type.object.type ?x .
who is the current leader of <e> today?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:common.topic.notable_types ?x .
who is the current leader of <e> today?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .
what drugs were in <e> when she died?	ns:people.deceased_person.cause_of_death ?x .	ns:base.eating.practicer_of_diet.diet ?x .
who was <e> president during the costa rican civil war?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.members ?x .
who does <e> play for in the nba?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:basketball.basketball_player.position_s ?y .?y ns:freebase.linguistic_hint.subject_form ?x .
who is the current president of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.predecessor_agency ?x .
who was the 2nd prime minister of <e>?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.component_bodies ?x .
what has <e> starred in that priyadarshan directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:film.film_story_contributor.film_story_credits ?y .?y ns:film.film.runtime ?x .
who is the current <e> 2011?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:freebase.type_hints.enumeration ?x .
what year did <e> won the slam dunk contest?	ns:sports.sports_award_winner.awards ?y .?y ns:sports.sports_award.season ?x .	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.games ?x .
who won 2001 <e>?	ns:sports.sports_award_type.winners ?y .?y ns:sports.sports_award.award_winner ?x .	ns:time.recurring_event.instances ?y .?y ns:sports.sports_championship_event.champion ?x .
who played <e> in two film versions of the odd couple?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:theater.theater_character.portrayed_by ?y .?y ns:type.object.type ?x .
who plays john connor in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.release_date_s ?y .?y ns:film.film_regional_release_date.release_date ?x .
what shares a border with <e> united states?	ns:location.location.adjoin_s ?y .?y ns:location.adjoining_relationship.adjoins ?x .	ns:location.location.events ?y .?y ns:common.topic.image ?x .
who plays <e> in spiderman 2?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.children ?y .?y ns:fictional_universe.fictional_character.romantically_involved_with ?x .
who has gone out with <e>	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.person.date_of_birth ?x .
what university did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:award.award_discipline.awards_in_this_discipline ?x .
who is the leader of <e> 2012?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:common.topic.notable_types ?x .
who won the nobel <e> in 2007?	ns:award.award_category.winners ?y .?y ns:award.award_honor.award_winner ?x .	ns:award.award_category.nominees ?y .?y ns:award.award_nomination.award ?x .
who played maxie jones on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.producer_type ?x .
who is the current governor of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.notable_for ?x .
who did <e> play for before the heat?	ns:basketball.basketball_player.player_statistics ?y .?y ns:basketball.basketball_player_stats.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.athlete ?x .
who does <e> play for in 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:soccer.football_player.statistics ?y .?y ns:soccer.football_player_stats.player ?x .
who is the <e> 2009?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:type.object.permission ?x .
who was the first <e>?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_for ?y .?y ns:common.notable_for.display_name ?x .
who is the current president of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:government.political_ideology.political_parties ?x .
who plays jackson gibbs on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.multipart_episodes ?y .?y ns:tv.multipart_tv_episode.tv_program ?x .
who was the <e> in 1980?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.government_office_or_title.category ?y .?y ns:organization.role.governors ?x .
who was rhe first <e>?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.notable_types ?y .?y ns:type.object.name ?x .
who plays <e> in spiderman 3?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:theater.theater_character.plays_appears_in ?y .?y ns:theater.play.orchestrator ?x .
what hong kong films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.nationality ?y .?y ns:location.location.partially_contains ?x .
who invaded England at the Battle of Hastings?	ns:military.military_conflict.commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:time.event.includes_event ?y .?y ns:military.military_conflict.combatants ?x .
who is better <e> or george lopez?	ns:film.person_or_entity_appearing_in_film.films ?y .?y ns:film.personal_film_appearance.person ?x .	ns:influence.influence_node.influenced_by ?y .?y ns:celebrities.celebrity.celebrity_friends ?x .
who are the current senators from <e>?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:organization.organization.sectors ?x .
which <e> was the daughter of anna wintour	ns:business.job_title.people_with_this_title ?y .?y ns:business.employment_tenure.person ?x .	ns:common.topic.notable_types ?y .?y ns:type.type.domain ?x .
who was <e> when flight of the phoenix was released?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:common.topic.webpage ?y .?y ns:common.webpage.topic ?x .
what soviet films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:base.descriptive_names.names.descriptive_name ?x .
where is <e> now?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:american_football.football_player.games ?y .?y ns:american_football.player_game_statistics.team ?x .
who was <e>'s first husband?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.family_member.family ?x .
where is <e> now?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:american_football.football_player.games ?y .?y ns:american_football.player_game_statistics.season ?x .
what film <e> starred in that rob marshall directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.actor ?x .
what has <e> starred in that aram avakian directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:people.profession.people_with_this_profession ?x .
who was the leader of the <e> in 1948?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:location.country.form_of_government ?y .?y ns:type.object.type ?x .
who played <e> in the lord of the rings movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.species ?y .?y ns:fictional_universe.character_species.characters_of_this_species ?x .
who played obi wan kenobi in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.film_casting_director ?y .?y ns:imdb.topic.name_id ?x .
what happened to <e> 2012?	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .	ns:people.person.nationality ?y .?y ns:base.folklore.mythical_creature_location.mythical_creature_s ?x .
what movie did <e> won his first oscar?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.nominated_for ?x .	ns:base.saturdaynightlive.snl_fiver_timer.episode_inducted ?y .?y ns:base.saturdaynightlive.snl_episode.season ?x .
when does school start in <e> 2011?	ns:travel.travel_destination.climate ?y .?y ns:travel.travel_destination_monthly_climate.month ?x .	ns:travel.travel_destination.guidebooks ?y .?y ns:common.topic.notable_for ?x .
who plays saruman in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.runtime ?y .?y ns:film.film_cut.note ?x .
who coached the <e> in 1996?	ns:american_football.football_team.historical_coaching_staff ?y .?y ns:american_football.football_historical_coach_position.coach ?x .	ns:sports.sports_team.roster ?y .?y ns:sports.sports_team_roster.player ?x .
who is the voice of <e> meg griffin?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.multipart_episodes ?y .?y ns:type.object.type ?x .
where did Barack Obama go to college in 1991?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.appointer.appointment_made ?y .?y ns:people.person.gender ?x .
what characters does seth macfarlane play in <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.character ?x .	ns:tv.tv_program.multipart_episodes ?y .?y ns:common.topic.alias ?x .
when did <e> win wimbledon?	ns:tennis.tennis_tournament_champion.tennis_titles ?y .?y ns:tennis.tennis_tournament_championship.year ?x .	ns:olympics.olympic_athlete.medals_won ?y .?y ns:olympics.olympic_medal_honor.event ?x .
who owns <e> 2012?	ns:organization.organization.leadership ?y .?y ns:organization.leadership.person ?x .	ns:business.employer.employees ?y .?y ns:business.employment_tenure.company ?x .
who played <e> on star trek the next generation?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .
who is <e> from marvel super hero squads brother called?	ns:film.film.starring ?y .?y ns:film.performance.character ?x .	ns:film.film.other_crew ?y .?y ns:type.object.type ?x .
who is the governor of <e> 2010?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.government ?x .
who is ruling <e> now?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:royalty.monarch.royal_line ?x .
which state was <e> born in?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.person.education ?y .?y ns:type.object.type ?x .
who won the nobel <e> in 2007?	ns:award.award_category.winners ?y .?y ns:award.award_honor.award_winner ?x .	ns:freebase.valuenotation.is_reviewed ?y .?y ns:type.object.permission ?x .
who does the voice of <e> in knight rider?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.seasons ?x .
who is prime minister of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:royalty.kingdom.rulers ?y .?y ns:user.alexbl.honorary_title.titled_person.honorary_title ?x .
what has yasuaki kurata starred in that <e> directed	ns:film.director.film ?x .	ns:film.producer.film ?x .
what future <e> dictator was in training to be a preist when he was turned on by marxism?	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:user.skud.nuclear_weapons.nuclear_power.nuclear_tests ?y .?y ns:user.skud.nuclear_weapons.nuclear_test.country_responsible ?x .
where did <e> junior go to college?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.places_lived ?y .?y ns:people.place_lived.start_date ?x .
where does <e> play now?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:type.object.type ?x .
who does <e> play for 2012?	ns:base.schemastaging.athlete_extra.salary ?y .?y ns:base.schemastaging.athlete_salary.team ?x .	ns:soccer.football_player.matches_played ?y .?y ns:soccer.football_player_match_participation.team ?x .
who played <e> in the lord of the rings movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:fictional_universe.fictional_character.parents ?y .?y ns:type.object.name ?x .
who voices anakin in <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_program.tv_producer ?y .?y ns:type.object.type ?x .
what college did <e> attend?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:base.petbreeds.city_with_dogs.top_breeds ?x .
which lutheran was the daughter of <e>	ns:people.person.children ?x .	ns:people.family.members ?x .
who did <e> surrender to in ww2?	ns:military.military_combatant.military_commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:location.location.events ?y .?y ns:base.disaster2.death_causing_event.person_killed ?x .
what <e> resigned from office in 1974?	ns:government.government_office_or_title.office_holders ?y .?y ns:government.government_position_held.office_holder ?x .	ns:people.appointed_role.appointment ?y .?y ns:type.object.type ?x .
when did <e> win the booker prize	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.year ?x .	ns:award.long_list_nominee.long_list_nominations ?y .?y ns:award.long_list_nomination.year ?x .
who plays young <e> in supernatural?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.appears_in_these_fictional_universes ?y .?y ns:fictional_universe.fictional_universe.locations ?x .
